text,label
"Nghiên cứu ảnh hưởng của tiếng ồn đến sự tập trung của con người",1
"Phân tích quá trình hình thành mưa trong khí tượng học",1
"Chứng minh định luật bảo toàn động lượng",1
"Phân tích cơ chế khóa đồng thời trong cơ sở dữ liệu",1
"Giải thích sự hình thành sóng điện từ",1
"Đánh giá vai trò của STEM trong giáo dục phổ thông",1
"Phân tích phương pháp PCR trong sinh học phân tử",1
"Giải thích quy luật di truyền Mendel",1
"Phân tích đặc tính cơ học của vật liệu composite",1
"Trình bày mô hình OSI và chức năng từng tầng",1
"Giải thích thuật toán PageRank",1

"Trời hôm nay đẹp quá, ai đi cà phê không?",0
"Chán quá, deadline dí mà chẳng muốn làm gì cả",0
"Mọi người biết quán lẩu nào ngon ở Cần Thơ không giới thiệu mình với",0
"Cuối tuần đi chơi không, stress quá rồi",0
"Hôm nay ăn gì ta, đói quá mọi người ơi",0
"Tui mới mua con laptop mới, xịn cực kỳ luôn",0
"Nhạc này hay ghê, nghe hoài không chán",0
"Trời mưa rồi, nhớ mang áo mưa nha mọi người",0
"Tui đang tìm bạn đi tập gym chung",0
"Nhớ người yêu cũ quá trời",0
"Game này cuốn thật sự, chơi tới sáng luôn",0
"Mới đi Đà Lạt về, đẹp muốn xỉu",0
"Thiệt tình chán chẳng buồn nói",0
"Không ngủ được, ai thức hong nói chuyện cho vui",0
"Nhìn đống bài tập mà muốn xỉu",0
"Đi xem phim mới ra không mọi người",0
"Chúc cả nhà ngủ ngon nhaaaa",0
"Mới ăn no quá trời nhưng vẫn thèm trà sữa",0
"Stress vì deadline với bài tập nhóm",0
"Bạn nào bán balo chất giới thiệu mình với",0
"Trời nóng quá, muốn đi biển chơi",0
"Hôm nay tui dọn phòng tới mệt xỉu",0
"Buồn ngủ nhưng vẫn phải làm bài tập",0
"Đi phượt không mọi người?",0
"Nhìn lịch thi mà muốn khóc",0
"Tức ghê, đang tải phim mà mạng lag quá trời",0
"Hôm nay có ai đi học không?",0
"Tui sắp hết tiền rồi huhuhu",0
"Nhà hàng mới mở nhìn ngon ghê",0
"Thèm ăn pizza quá mọi người ơi",0
"Đang làm assignment mà lười quá",0
"Xin tài liệu môn học với mọi người",0
"Đang tìm chỗ sửa điện thoại",0
"Nay lạnh ghê, nhớ mặc áo ấm",0
"Nhớ nhà quá, muốn về quê",0
"Đi siêu thị mua đồ mà đông quá trời",0
"Trời ơi máy tính lại bị đơ rồi",0
"Cuối tuần này đi chơi xa nè",0
"Trời mưa buồn quá",0
"Muốn đổi điện thoại mới quá",0
"Ăn buffe ngon cực kỳ luôn",0
"Chụp tấm hình mới xinh ghê",0
"Thèm trà tắc quá trời",0
"Không biết tối ăn gì nữa",0
"Hôm nay mệt quá chỉ muốn ngủ",0
"Đi xem pháo hoa không mọi người",0
"Trời ơi con mèo nhà tui dễ thương quá",0
"Muốn đi du lịch Nhật Bản ghê",0
"Chán học online thật sự",0
"Đang nằm mà chẳng muốn dậy",0
"Thích cảm giác nằm nghe nhạc ghê",0
"Trúng gió rồi, mệt muốn xỉu",0
"Tui muốn đi chụp hình sống ảo",0
"Thèm uống cà phê muối quá",0
"Muốn mua keyboard mới",0
"Đi ăn sinh nhật bạn nè",0
"Hôm nay ra đường kẹt xe quá trời",0
"Nhà tui mới nuôi thêm con chó",0
"Thèm ngủ quá trời",0
"Đi coi đá banh không mọi người",0
"Mệt ghê, muốn nghỉ học luôn",0
"Không hiểu sao nay buồn buồn",0
"Đi xem áo quần Tết không?",0
"Hôm nay tui ăn mì gói",0
"Muốn uống trà đào",0
"Đang viết bài luận mà lười quá",0
"Trời hôm nay âm u ghê",0
"Đi chụp hình hoàng hôn không?",0
"Thích ăn bánh tráng trộn ghê",0
"Không biết nên cắt tóc kiểu gì",0
"Đi chơi lễ không mọi người",0
"Buồn ngủ xỉu luôn",0
"Đang đợi lương về",0
"Chẳng muốn nói chuyện với ai",0
"Nay trời lạnh quá",0
"Đang tìm chỗ bán đồ decor phòng",0
"Thèm ăn bún đậu mắm tôm",0
"Đi học mà buồn ngủ ghê",0
"Đang coi TikTok cả buổi luôn",0
"Muốn mua sách mới nhưng hết tiền",0
"Chán làm bài tập lắm rồi",0
"Đi ăn chè không mọi người",0
"Trời đẹp quá muốn đi chơi xa",0
